participant,model_type,n_trials,choice_rate,reward_rate,win_stay,win_shift,lose_stay,lose_shift,choice_perseveration,switch_rate
1d7c0db,rnn,1416,0.4985875706214689,0.10805084745762712,0.0392156862745098,0.9607843137254902,0.07369255150554675,0.9263074484944532,0.06996466431095406,0.930035335689046
205d5a4,rnn,1448,0.5006906077348067,0.09599447513812155,0.07194244604316546,0.9280575539568345,0.06192660550458716,0.9380733944954128,0.06288873531444368,0.9371112646855563
20b78f0a,rnn,1598,0.4924906132665832,0.09011264080100125,0.09027777777777778,0.9097222222222222,0.08189951823812801,0.918100481761872,0.08265497808390733,0.9173450219160927
21f983df,rnn,1159,0.5038826574633305,0.10526315789473684,0.05737704918032787,0.9426229508196722,0.07432432432432433,0.9256756756756757,0.07253886010362694,0.927461139896373
222b96a0,rnn,1951,0.5002562788313686,0.1096873398257304,0.09813084112149532,0.9018691588785047,0.08294930875576037,0.9170506912442397,0.08461538461538462,0.9153846153846154
23659a75,rnn,403,0.4987593052109181,0.1141439205955335,0.08695652173913043,0.9130434782608695,0.16853932584269662,0.8314606741573034,0.15920398009950248,0.8407960199004975
24c1b08b,rnn,1148,0.49564459930313587,0.10801393728222997,0.08870967741935484,0.9112903225806451,0.10459433040078202,0.895405669599218,0.1028770706190061,0.8971229293809939
258fbc5e,rnn,1243,0.5068382944489139,0.0997586484312148,0.08870967741935484,0.9112903225806451,0.0885509838998211,0.9114490161001789,0.08856682769726248,0.9114331723027376
265da921,rnn,1511,0.499669093315685,0.10059563203176704,0.09210526315789473,0.9078947368421053,0.07290132547864507,0.927098674521355,0.07483443708609272,0.9251655629139073
2713a5f4,rnn,1659,0.49547920433996384,0.11271850512356842,0.0481283422459893,0.9518716577540107,0.06866077498300475,0.9313392250169953,0.06634499396863691,0.9336550060313631
2c2dcf89,rnn,1132,0.49734982332155475,0.09363957597173145,0.03773584905660377,0.9622641509433962,0.10341463414634146,0.8965853658536586,0.09725906277630415,0.9027409372236959
2d63c35c,rnn,1051,0.4928639391056137,0.10180780209324453,0.056074766355140186,0.9439252336448598,0.09437963944856839,0.9056203605514316,0.09047619047619047,0.9095238095238095
2eb1d623,rnn,576,0.5017361111111112,0.09027777777777778,0.07692307692307693,0.9230769230769231,0.11089866156787763,0.8891013384321224,0.10782608695652174,0.8921739130434783
2fffdaf6,rnn,1337,0.5011219147344802,0.09573672400897532,0.0703125,0.9296875,0.09602649006622517,0.9039735099337748,0.09356287425149701,0.906437125748503
34bd971,rnn,929,0.5069967707212056,0.0968783638320775,0.05555555555555555,0.9444444444444444,0.08353221957040573,0.9164677804295943,0.08081896551724138,0.9191810344827587
40c54a06,rnn,1139,0.4986830553116769,0.10623353819139596,0.08264462809917356,0.9173553719008265,0.07964601769911504,0.9203539823008849,0.07996485061511424,0.9200351493848857
418b46d3,rnn,1267,0.4940805051302289,0.10891870560378848,0.07971014492753623,0.9202898550724637,0.09485815602836879,0.9051418439716312,0.09320695102685624,0.9067930489731437
425953ac,rnn,1243,0.499597747385358,0.09412711182622686,0.08547008547008547,0.9145299145299145,0.064,0.936,0.06602254428341385,0.9339774557165862
43175f79,rnn,1358,0.4992636229749632,0.10751104565537556,0.08904109589041095,0.910958904109589,0.07844756399669695,0.921552436003303,0.079587324981577,0.9204126750184229
44b37587,rnn,1788,0.4988814317673378,0.09340044742729306,0.10240963855421686,0.8975903614457831,0.07094386181369525,0.9290561381863047,0.07386681589255736,0.9261331841074426
45fd7952,rnn,1615,0.5040247678018576,0.09597523219814241,0.06451612903225806,0.9354838709677419,0.0726525017135024,0.9273474982864977,0.07187112763320942,0.9281288723667905
462f6c2d,rnn,1297,0.5073245952197378,0.1002313030069391,0.046153846153846156,0.9538461538461539,0.08404802744425385,0.9159519725557461,0.08024691358024691,0.9197530864197531
476160f8,rnn,1513,0.4963648380700595,0.09980171844018507,0.09271523178807947,0.9072847682119205,0.08302718589272594,0.916972814107274,0.083994708994709,0.916005291005291
48293504,rnn,810,0.49876543209876545,0.09012345679012346,0.1095890410958904,0.8904109589041096,0.09918478260869565,0.9008152173913043,0.10012360939431397,0.899876390605686
496739d1,rnn,1098,0.49089253187613846,0.08196721311475409,0.13333333333333333,0.8666666666666667,0.09731876861966236,0.9026812313803376,0.10027347310847767,0.8997265268915223
4ab52cae,rnn,748,0.5,0.08689839572192513,0.18461538461538463,0.8153846153846154,0.09970674486803519,0.9002932551319648,0.107095046854083,0.892904953145917
4bfb207b,rnn,1198,0.4941569282136895,0.1001669449081803,0.08333333333333333,0.9166666666666666,0.07242339832869081,0.9275766016713092,0.07351712614870509,0.9264828738512949
4eff38f,rnn,1586,0.4968474148802018,0.10151324085750316,0.055900621118012424,0.9440993788819876,0.07794943820224719,0.9220505617977528,0.07570977917981073,0.9242902208201893
4f8d1ffa,rnn,1192,0.49580536912751677,0.08389261744966443,0.09,0.91,0.08707607699358387,0.9129239230064161,0.0873215785054576,0.9126784214945424
5a1ff5a,rnn,1137,0.49780123131046616,0.11433597185576078,0.1,0.9,0.08946322067594434,0.9105367793240556,0.09066901408450705,0.909330985915493
60eb0902,rnn,1433,0.4954640614096302,0.09071877180739707,0.03076923076923077,0.9692307692307692,0.08602150537634409,0.9139784946236559,0.08100558659217877,0.9189944134078212
61a505d7,rnn,1614,0.5006195786864932,0.09293680297397769,0.08,0.92,0.07723855092276145,0.9227614490772386,0.07749535027898326,0.9225046497210168
627710a8,rnn,1291,0.48876839659178933,0.0983733539891557,0.05511811023622047,0.9448818897637795,0.07394668959587274,0.9260533104041273,0.07209302325581396,0.9279069767441861
63391c7d,rnn,886,0.5011286681715575,0.11512415349887133,0.09803921568627451,0.9019607843137255,0.10472541507024266,0.8952745849297573,0.103954802259887,0.896045197740113
649d3683,rnn,1683,0.5020796197266786,0.11170528817587641,0.07446808510638298,0.925531914893617,0.08433734939759036,0.9156626506024096,0.08323424494649227,0.9167657550535078
